
full_name                            html_url                                               
---------                            --------                                               
doublesilver/ai-job-matcher          https://github.com/doublesilver/ai-job-matcher         
doublesilver/biz-retriever           https://github.com/doublesilver/biz-retriever          
doublesilver/chatwoot-portfolio      https://github.com/doublesilver/chatwoot-portfolio     
doublesilver/doublesilver            https://github.com/doublesilver/doublesilver           
doublesilver/maintenance-app         https://github.com/doublesilver/maintenance-app        
doublesilver/QA-Automation-Pipeline  https://github.com/doublesilver/QA-Automation-Pipeline 
doublesilver/qa-automation-portfolio https://github.com/doublesilver/qa-automation-portfolio
doublesilver/subway-board            https://github.com/doublesilver/subway-board           


